frame,class,x,y,conf
0,thumb,2190.0650634765625,1516.9276733398438,0.7410929799079895
0,index_finger,2203.1904296875,1289.53271484375,0.6777905225753784
2,thumb,2190.3458251953125,1517.2117309570312,0.7600414752960205
2,index_finger,2203.109375,1289.6156616210938,0.6937658786773682
4,thumb,2190.5533447265625,1517.3734130859375,0.7647074460983276
4,index_finger,2203.72412109375,1289.5054321289062,0.7070373296737671
6,thumb,2190.0361328125,1517.1382446289062,0.7471544146537781
6,index_finger,2203.31640625,1289.0223388671875,0.6745094060897827
8,thumb,2189.8974609375,1516.873291015625,0.7361471056938171
8,index_finger,2203.3648681640625,1288.9091796875,0.6602623462677002
10,thumb,2190.126220703125,1517.01123046875,0.7384155988693237
10,index_finger,2203.0877685546875,1289.3641967773438,0.664353609085083
12,thumb,2190.4512939453125,1517.0857543945312,0.7443189024925232
12,index_finger,2204.0833740234375,1288.9306030273438,0.6344011425971985
14,thumb,2190.6016845703125,1517.4156494140625,0.747778058052063
14,index_finger,2203.921630859375,1289.0654296875,0.6477417349815369
16,thumb,2190.4130859375,1517.2736206054688,0.7448175549507141
16,index_finger,2203.840576171875,1288.8552856445312,0.6461651921272278
18,thumb,2189.9776611328125,1516.866943359375,0.7350276112556458
18,index_finger,2203.6280517578125,1288.1607055664062,0.6311007142066956
20,thumb,2189.380615234375,1516.8037109375,0.7379224896430969
20,index_finger,2203.046875,1288.3653564453125,0.6237728595733643
22,thumb,2190.1646728515625,1517.001708984375,0.7343403697013855
22,index_finger,2203.6466064453125,1288.2638549804688,0.6365661025047302
24,thumb,2190.3411865234375,1517.34716796875,0.7448586225509644
24,index_finger,2203.194580078125,1288.6327514648438,0.6638001203536987
26,thumb,2190.7001953125,1517.2122802734375,0.7434960007667542
26,index_finger,2203.0889892578125,1288.452880859375,0.6469102501869202
28,thumb,2190.3240966796875,1516.9266357421875,0.7492086887359619
28,index_finger,2203.652587890625,1287.963134765625,0.6355243921279907
30,thumb,2189.8828125,1516.6574096679688,0.7454725503921509
30,index_finger,2203.3018798828125,1288.0720825195312,0.6311374306678772
32,thumb,2189.8240966796875,1516.565185546875,0.7514975070953369
32,index_finger,2203.0784912109375,1288.1725463867188,0.6395106911659241
34,thumb,2189.695556640625,1516.3618774414062,0.7518274784088135
34,index_finger,2202.96337890625,1288.3125610351562,0.6250631809234619
36,thumb,2190.4456787109375,1516.2628784179688,0.773899257183075
36,index_finger,2202.719970703125,1288.173828125,0.6289323568344116
38,thumb,2190.807861328125,1516.1597290039062,0.7822065353393555
38,index_finger,2201.6312255859375,1288.4867553710938,0.6426251530647278
40,thumb,2190.5264892578125,1516.2819213867188,0.7863553762435913
40,index_finger,2201.162353515625,1288.16552734375,0.6458215117454529
42,thumb,2190.3631591796875,1515.9228515625,0.7958175539970398
42,index_finger,2201.5399169921875,1287.2102661132812,0.6892305016517639
44,thumb,2190.1729736328125,1515.8525390625,0.8017117381095886
44,index_finger,2201.6014404296875,1287.0466918945312,0.691218376159668
46,thumb,2190.315673828125,1515.8375244140625,0.8015507459640503
46,index_finger,2201.3848876953125,1287.1818237304688,0.6983327865600586
48,thumb,2190.1884765625,1515.929443359375,0.8017997145652771
48,index_finger,2201.3201904296875,1287.1297607421875,0.7041370868682861
50,thumb,2190.1407470703125,1515.4207763671875,0.8023869395256042
50,index_finger,2201.279296875,1286.8950805664062,0.7170166969299316
52,thumb,2190.4010009765625,1515.357177734375,0.7986032366752625
52,index_finger,2201.297119140625,1286.9338989257812,0.7142404317855835
54,thumb,2190.661376953125,1514.755859375,0.793269693851471
54,index_finger,2201.3790283203125,1286.261962890625,0.6982061266899109
56,thumb,2190.981201171875,1514.3038330078125,0.787905752658844
56,index_finger,2200.4720458984375,1286.8483276367188,0.710766613483429
58,thumb,2191.254638671875,1513.8050537109375,0.7702835202217102
58,index_finger,2199.7230224609375,1286.4579467773438,0.7141196727752686
60,thumb,2191.529541015625,1513.7977294921875,0.769111692905426
60,index_finger,2199.583740234375,1285.894775390625,0.7271515727043152
62,thumb,2191.498046875,1513.5955810546875,0.7643300294876099
62,index_finger,2199.7113037109375,1286.0003662109375,0.7229158282279968
64,thumb,2191.489990234375,1513.4468994140625,0.7600175142288208
64,index_finger,2199.876953125,1285.8773803710938,0.7199852466583252
66,thumb,2191.51416015625,1513.3505859375,0.7612313628196716
66,index_finger,2199.7506103515625,1286.0740356445312,0.705390214920044
68,thumb,2191.4532470703125,1513.1046142578125,0.742047905921936
68,index_finger,2199.655029296875,1285.5933837890625,0.7095251083374023
70,thumb,2191.9815673828125,1513.701416015625,0.7351381182670593
70,index_finger,2198.6685791015625,1285.422119140625,0.7328605055809021
72,index_finger,2197.7391357421875,1284.89208984375,0.7483781576156616
72,thumb,2191.9619140625,1513.1614379882812,0.7047496438026428
74,index_finger,2198.1507568359375,1284.6089477539062,0.7464076280593872
74,thumb,2192.3411865234375,1513.093994140625,0.7134631872177124
76,index_finger,2199.350341796875,1285.263671875,0.720648467540741
76,thumb,2192.16796875,1512.8521728515625,0.6976131796836853
78,thumb,2192.07177734375,1512.6214599609375,0.7123876214027405
78,index_finger,2199.6231689453125,1285.6586303710938,0.7111073136329651
80,thumb,2192.20556640625,1512.9845581054688,0.7246521711349487
80,index_finger,2199.5111083984375,1286.00927734375,0.711519181728363
82,index_finger,2198.6343994140625,1285.5740966796875,0.7230362892150879
82,thumb,2192.265625,1512.81591796875,0.7077599167823792
84,index_finger,2198.11328125,1285.3521728515625,0.7319729328155518
84,thumb,2192.3621826171875,1512.6472778320312,0.6908214688301086
86,index_finger,2198.394287109375,1284.75732421875,0.7347809672355652
86,thumb,2192.883544921875,1513.0513916015625,0.6998470425605774
88,thumb,2191.342529296875,1512.8763427734375,0.7466468811035156
88,index_finger,2198.466796875,1284.7981567382812,0.7324306964874268
90,thumb,2190.870361328125,1512.8602294921875,0.759019672870636
90,index_finger,2197.4937744140625,1284.365478515625,0.7370445132255554
92,thumb,2190.33203125,1513.0974731445312,0.7670163512229919
92,index_finger,2196.960205078125,1284.0514526367188,0.7270460724830627
94,thumb,2190.6068115234375,1513.5913696289062,0.7781599164009094
94,index_finger,2194.9263916015625,1284.2984008789062,0.772746741771698
96,thumb,2190.342041015625,1514.0661010742188,0.7915247678756714
96,index_finger,2194.6748046875,1282.8736572265625,0.7770894169807434
98,thumb,2190.0185546875,1513.9762573242188,0.7940748929977417
98,index_finger,2194.9635009765625,1282.84765625,0.769615113735199
100,thumb,2190.0477294921875,1514.01904296875,0.785190224647522
100,index_finger,2197.0037841796875,1284.5608520507812,0.7415295839309692
102,thumb,2188.246826171875,1507.9083251953125,0.7750996351242065
104,thumb,2190.7049560546875,1494.8338623046875,0.6392139196395874
106,thumb,2221.970458984375,1466.0665283203125,0.4016711115837097
108,thumb,2203.031494140625,1483.2562866210938,0.44592902064323425
114,thumb,2205.351806640625,1479.1497192382812,0.5014849901199341
116,thumb,2213.1136474609375,1475.6854248046875,0.4578186273574829
118,thumb,2222.599609375,1474.4834594726562,0.5363426804542542
122,thumb,2185.2509765625,1521.3529663085938,0.6139338612556458
124,thumb,2175.4180908203125,1547.7090454101562,0.6589203476905823
126,thumb,2169.9576416015625,1551.6817016601562,0.6067225337028503
128,thumb,2166.7022705078125,1547.7103271484375,0.5682908892631531
130,thumb,2162.8062744140625,1542.9362182617188,0.6274239420890808
130,index_finger,2206.471923828125,1288.6166381835938,0.4419518709182739
132,index_finger,2200.841552734375,1280.462890625,0.7035893201828003
132,thumb,2166.4248046875,1542.1781616210938,0.6362448930740356
