frame,class,x,y,conf
22,thumb,802.4859008789062,699.5897827148438,0.45062947273254395
28,thumb,802.0402221679688,723.7295532226562,0.4667729437351227
34,thumb,800.6423950195312,721.425537109375,0.4613494277000427
52,thumb,800.920166015625,721.3500061035156,0.44286325573921204
54,thumb,799.7770385742188,722.5755310058594,0.4012136161327362
56,thumb,799.4931945800781,722.7672729492188,0.4073849320411682
58,thumb,799.5602416992188,722.5042114257812,0.42413365840911865
76,index_finger,839.1329650878906,573.8509826660156,0.4215027689933777
78,index_finger,837.2587280273438,574.9825439453125,0.43415090441703796
80,index_finger,836.4834289550781,575.4458923339844,0.4071168005466461
256,thumb,806.5200805664062,722.8271789550781,0.4085923135280609
264,thumb,803.01513671875,723.9296875,0.48551592230796814
314,thumb,802.3932495117188,722.3479309082031,0.45425891876220703
316,thumb,802.7535095214844,722.3388671875,0.429710328578949
318,thumb,802.9801940917969,722.2008361816406,0.44062018394470215
320,thumb,802.8634643554688,721.9522399902344,0.40911203622817993
370,index_finger,834.2015075683594,574.5629577636719,0.4078640341758728
372,index_finger,837.6333618164062,573.25830078125,0.46845778822898865
374,index_finger,837.33251953125,573.2100830078125,0.46891719102859497
414,thumb,807.1928100585938,697.1667175292969,0.4502798914909363
420,index_finger,835.02685546875,570.9727172851562,0.43372949957847595
422,index_finger,834.8001708984375,571.3710021972656,0.43567022681236267
424,thumb,807.4169311523438,701.4789733886719,0.42817461490631104
442,index_finger,834.2173461914062,572.0790710449219,0.4257325232028961
480,thumb,812.512451171875,698.3770751953125,0.4326876997947693
494,thumb,810.4019165039062,699.0926818847656,0.44254404306411743
496,index_finger,835.4042358398438,570.2387390136719,0.4328369200229645
498,index_finger,835.5023498535156,570.2538757324219,0.4536154866218567
500,index_finger,834.03466796875,570.6354370117188,0.42223817110061646
554,index_finger,836.56494140625,568.0606384277344,0.4039366543292999
556,index_finger,836.2642822265625,568.8712158203125,0.4080676734447479
598,thumb,812.2064208984375,698.03125,0.4332588016986847
