frame,class,x,y,conf
0,thumb,2652.6427001953125,1351.6571655273438,0.8333134055137634
0,index_finger,2735.85107421875,990.8563537597656,0.7017630338668823
2,thumb,2652.845947265625,1352.1077880859375,0.8261112570762634
2,index_finger,2734.3607177734375,986.7306518554688,0.6268094182014465
4,thumb,2653.064453125,1352.174072265625,0.824766993522644
4,index_finger,2735.751953125,987.5421752929688,0.5984312295913696
6,thumb,2654.0517578125,1352.4192504882812,0.8277216553688049
6,index_finger,2737.4222412109375,988.2528076171875,0.5684335827827454
8,thumb,2655.006591796875,1350.2693481445312,0.8014618158340454
8,index_finger,2739.7598876953125,987.7915649414062,0.4894217252731323
10,thumb,2652.2330322265625,1343.1106567382812,0.725408673286438
10,index_finger,2740.379150390625,987.090087890625,0.5700074434280396
12,thumb,2651.91357421875,1341.59375,0.7707005739212036
12,index_finger,2740.586669921875,986.3146362304688,0.564170241355896
14,thumb,2652.8328857421875,1342.2149047851562,0.7574276924133301
14,index_finger,2741.5030517578125,985.6940612792969,0.580798864364624
16,thumb,2652.4942626953125,1343.4629516601562,0.7325863242149353
16,index_finger,2741.179931640625,986.7228393554688,0.5525867938995361
18,thumb,2656.5970458984375,1348.7341918945312,0.7427067160606384
18,index_finger,2741.3543701171875,989.78125,0.41404592990875244
20,thumb,2656.56982421875,1349.7288208007812,0.7634671926498413
20,index_finger,2746.750732421875,995.2540283203125,0.46045368909835815
22,thumb,2655.923095703125,1350.0626220703125,0.8017351627349854
22,index_finger,2755.6915283203125,1008.2872924804688,0.5907849669456482
24,thumb,2655.9827880859375,1352.2312622070312,0.8305462598800659
26,thumb,2657.2984619140625,1355.7161865234375,0.8584797978401184
26,index_finger,2759.361083984375,1024.6060180664062,0.48672810196876526
28,thumb,2658.2613525390625,1360.7557373046875,0.8653771877288818
28,index_finger,2762.2193603515625,1028.9671020507812,0.5415160059928894
30,thumb,2658.2635498046875,1362.5618286132812,0.8678008317947388
30,index_finger,2763.53857421875,1029.9089050292969,0.5797542333602905
32,thumb,2657.57958984375,1364.5187377929688,0.8463694453239441
32,index_finger,2759.348876953125,1029.9342651367188,0.5706112384796143
34,thumb,2657.36181640625,1365.6051635742188,0.8365771174430847
34,index_finger,2756.7105712890625,1028.2571105957031,0.5245655179023743
36,thumb,2657.34326171875,1364.1235961914062,0.8415834903717041
38,thumb,2658.1109619140625,1363.7415771484375,0.8331930041313171
38,index_finger,2751.74072265625,1020.857177734375,0.42101234197616577
40,thumb,2657.8804931640625,1365.7920532226562,0.83551025390625
40,index_finger,2752.3656005859375,1020.3038330078125,0.40516847372055054
42,thumb,2658.4852294921875,1369.6486206054688,0.8069041967391968
44,thumb,2658.83349609375,1375.7625732421875,0.7791528105735779
44,index_finger,2754.9310302734375,1024.4762878417969,0.4441807270050049
46,thumb,2659.021728515625,1381.7271728515625,0.7908167243003845
46,index_finger,2756.969970703125,1028.5043029785156,0.5120782256126404
48,thumb,2658.838134765625,1386.5726318359375,0.7987225651741028
48,index_finger,2760.2808837890625,1031.5643615722656,0.5404919981956482
50,thumb,2660.7340087890625,1391.6531372070312,0.7882860898971558
50,index_finger,2764.05517578125,1032.7514343261719,0.5485290288925171
52,thumb,2659.8193359375,1392.819580078125,0.7941954135894775
52,index_finger,2764.32080078125,1036.2826232910156,0.5627532601356506
54,thumb,2658.7314453125,1392.1904907226562,0.7929514646530151
54,index_finger,2764.547607421875,1036.622314453125,0.5507155060768127
56,thumb,2659.271484375,1392.1470336914062,0.7885777950286865
56,index_finger,2764.06298828125,1035.8104248046875,0.5599182844161987
58,thumb,2659.7664794921875,1391.802734375,0.7863544821739197
58,index_finger,2764.357177734375,1035.6697998046875,0.5327161550521851
60,thumb,2659.5380859375,1390.8617553710938,0.7873424887657166
60,index_finger,2763.7916259765625,1035.7838745117188,0.5249516367912292
62,thumb,2660.2760009765625,1391.6113891601562,0.7869881987571716
62,index_finger,2763.827880859375,1038.0505065917969,0.5503013134002686
64,thumb,2661.4700927734375,1393.0034790039062,0.7708919048309326
64,index_finger,2765.3509521484375,1038.5770263671875,0.5570968985557556
66,thumb,2663.6826171875,1394.8690185546875,0.7510889768600464
66,index_finger,2764.62451171875,1039.5486755371094,0.5497243404388428
68,thumb,2664.519775390625,1395.956787109375,0.7516540288925171
68,index_finger,2766.4434814453125,1041.8195190429688,0.5676780343055725
70,thumb,2664.53759765625,1397.0355224609375,0.8048675656318665
70,index_finger,2770.2186279296875,1044.8477172851562,0.6044624447822571
72,thumb,2663.994140625,1398.4720458984375,0.8114314079284668
72,index_finger,2773.218994140625,1047.8147888183594,0.6196802854537964
74,thumb,2664.83740234375,1401.2593994140625,0.8407473564147949
74,index_finger,2773.9306640625,1053.4635620117188,0.5581554174423218
76,thumb,2665.1124267578125,1404.3643798828125,0.8416562080383301
76,index_finger,2774.876220703125,1071.3480834960938,0.4969434440135956
78,thumb,2665.109619140625,1405.3030395507812,0.8437777757644653
78,index_finger,2785.5152587890625,1109.9942016601562,0.44461894035339355
80,thumb,2665.412109375,1410.4475708007812,0.8506107926368713
82,thumb,2667.2139892578125,1420.4533081054688,0.8200780749320984
82,index_finger,2790.3775634765625,1135.1077270507812,0.4007716774940491
84,thumb,2668.9686279296875,1425.6712646484375,0.7927476167678833
84,index_finger,2793.9595947265625,1150.3148803710938,0.4503166377544403
86,thumb,2672.46533203125,1435.2363891601562,0.8307538032531738
86,index_finger,2799.1072998046875,1171.58251953125,0.4222757816314697
88,thumb,2669.8760986328125,1439.3751831054688,0.8177701234817505
90,thumb,2670.1490478515625,1447.1572265625,0.8441469073295593
92,thumb,2670.9888916015625,1458.7164306640625,0.8834130167961121
94,thumb,2672.0638427734375,1469.1532592773438,0.8276983499526978
96,thumb,2674.059814453125,1477.696044921875,0.824261486530304
98,thumb,2674.225341796875,1483.1926879882812,0.8258171677589417
100,thumb,2672.732177734375,1487.706298828125,0.8118566870689392
102,thumb,2673.25439453125,1491.6864013671875,0.8245304822921753
104,thumb,2671.879638671875,1495.4573364257812,0.8136379718780518
106,thumb,2673.48193359375,1495.5053100585938,0.8257496953010559
108,thumb,2673.4085693359375,1500.1189575195312,0.8767895102500916
110,thumb,2672.7462158203125,1502.438232421875,0.8324790000915527
112,thumb,2677.129150390625,1508.1190185546875,0.8487519025802612
114,thumb,2676.231689453125,1509.7023315429688,0.8188704252243042
116,thumb,2676.375244140625,1511.3468017578125,0.8042033910751343
118,thumb,2679.8447265625,1508.7623291015625,0.8583375215530396
120,thumb,2680.6387939453125,1508.3250122070312,0.8603320121765137
122,thumb,2680.5650634765625,1509.5825805664062,0.856910228729248
124,thumb,2681.41943359375,1510.4607543945312,0.8552220463752747
126,thumb,2681.8360595703125,1511.4354858398438,0.8288576602935791
128,thumb,2680.7926025390625,1512.9166259765625,0.8151321411132812
130,thumb,2681.630126953125,1515.705810546875,0.8144907355308533
132,thumb,2680.013916015625,1518.302490234375,0.7914822101593018
134,thumb,2680.0032958984375,1519.6197509765625,0.7822991013526917
136,thumb,2680.4327392578125,1518.595458984375,0.783540666103363
138,thumb,2681.1607666015625,1516.792236328125,0.8069795370101929
140,thumb,2679.764892578125,1511.4627685546875,0.8032915592193604
142,thumb,2682.2867431640625,1509.00439453125,0.8385635018348694
144,thumb,2683.291748046875,1505.223388671875,0.8402543067932129
146,thumb,2682.1365966796875,1501.5224609375,0.851081371307373
148,thumb,2680.4600830078125,1495.219482421875,0.8341057300567627
150,thumb,2681.99365234375,1487.6943359375,0.7973824739456177
152,thumb,2683.1689453125,1485.2138671875,0.8229721188545227
154,thumb,2681.6824951171875,1481.6702270507812,0.8435736894607544
156,thumb,2678.9630126953125,1472.7470703125,0.7915652990341187
158,thumb,2678.4710693359375,1459.4102172851562,0.8469401001930237
160,thumb,2671.9639892578125,1447.512451171875,0.831047773361206
162,thumb,2672.4677734375,1441.5464477539062,0.8106628656387329
162,index_finger,2805.7354736328125,1177.8756103515625,0.4038081467151642
164,thumb,2671.841552734375,1440.0836181640625,0.8165218234062195
166,thumb,2669.3441162109375,1436.6058959960938,0.8205469846725464
166,index_finger,2800.164794921875,1124.49609375,0.5243082642555237
168,thumb,2667.0595703125,1428.901123046875,0.823881983757019
168,index_finger,2798.1033935546875,1120.0460815429688,0.4009910523891449
170,thumb,2665.568603515625,1424.224853515625,0.8186852931976318
170,index_finger,2792.9298095703125,1103.5205688476562,0.5629532337188721
172,thumb,2664.5887451171875,1416.7484130859375,0.8164991736412048
172,index_finger,2784.4403076171875,1085.2902221679688,0.4427056610584259
174,thumb,2661.8623046875,1407.28759765625,0.855338454246521
