frame,class,x,y,conf
0,thumb,2112.8035888671875,1410.350830078125,0.6597887873649597
0,index_finger,2210.8663330078125,881.3136291503906,0.5290144681930542
2,thumb,2129.313232421875,1414.3539428710938,0.6403703093528748
2,index_finger,2220.952880859375,874.5128173828125,0.547177255153656
4,thumb,2133.7095947265625,1417.512939453125,0.694288432598114
4,index_finger,2226.962646484375,871.50732421875,0.5381603837013245
6,thumb,2137.3724365234375,1421.9326782226562,0.7149875164031982
6,index_finger,2233.1502685546875,870.8902587890625,0.5723121762275696
8,thumb,2146.9178466796875,1428.07470703125,0.6709819436073303
8,index_finger,2241.83447265625,868.93359375,0.5994043946266174
10,thumb,2160.8131103515625,1432.5830688476562,0.5827527642250061
10,index_finger,2250.06689453125,872.0269470214844,0.5653688907623291
12,index_finger,2263.82666015625,878.6608581542969,0.5886843204498291
12,thumb,2167.9287109375,1443.8690795898438,0.5107549428939819
14,thumb,2191.0545654296875,1450.1442260742188,0.6441802382469177
14,index_finger,2302.7796630859375,886.7125854492188,0.6314528584480286
16,thumb,2216.97900390625,1457.0684814453125,0.7845240235328674
16,index_finger,2340.0379638671875,901.8838500976562,0.6211794018745422
18,thumb,2256.955810546875,1464.1219482421875,0.8091558218002319
18,index_finger,2379.6605224609375,902.0869140625,0.7094997763633728
20,thumb,2276.2847900390625,1473.0106201171875,0.7447477579116821
20,index_finger,2405.2147216796875,918.2114868164062,0.5993244051933289
22,thumb,2286.8917236328125,1493.0372314453125,0.7333707213401794
22,index_finger,2421.463134765625,932.4507751464844,0.6739639043807983
24,thumb,2279.317626953125,1519.6585083007812,0.7321130037307739
24,index_finger,2406.9969482421875,964.7664184570312,0.6605378985404968
26,index_finger,2388.555419921875,965.8435363769531,0.7812418937683105
26,thumb,2272.030517578125,1539.208740234375,0.7503279447555542
28,thumb,2264.573974609375,1525.6783447265625,0.6801215410232544
28,index_finger,2375.203369140625,945.662841796875,0.6019992828369141
30,index_finger,2371.43017578125,915.77783203125,0.6748256087303162
30,thumb,2262.156982421875,1500.1522827148438,0.6559165120124817
32,thumb,2273.1884765625,1474.2923583984375,0.7538807988166809
32,index_finger,2377.533203125,895.7871704101562,0.7181586623191833
34,thumb,2281.7728271484375,1460.94091796875,0.7787585258483887
34,index_finger,2385.017822265625,896.8931274414062,0.7374075055122375
36,thumb,2284.407958984375,1471.4300537109375,0.774177074432373
36,index_finger,2391.9620361328125,909.8206787109375,0.752854585647583
38,thumb,2279.518798828125,1500.8382568359375,0.727085530757904
38,index_finger,2391.0615234375,945.40673828125,0.6914107799530029
40,index_finger,2378.5172119140625,976.1510009765625,0.7460476756095886
40,thumb,2269.097412109375,1532.7821044921875,0.6944247484207153
42,thumb,2251.3585205078125,1557.1083374023438,0.7694405913352966
42,index_finger,2370.838623046875,983.6419372558594,0.6342695355415344
44,thumb,2242.9283447265625,1560.355224609375,0.7821357846260071
44,index_finger,2360.799560546875,984.3975219726562,0.5952046513557434
46,thumb,2248.289306640625,1550.309326171875,0.7391655445098877
46,index_finger,2362.6580810546875,974.2424926757812,0.5692893862724304
48,thumb,2260.3409423828125,1523.4796142578125,0.669964075088501
48,index_finger,2375.6748046875,950.701171875,0.6360018849372864
50,thumb,2274.9949951171875,1508.6317138671875,0.7747593522071838
50,index_finger,2391.390869140625,936.4713134765625,0.6599484086036682
52,thumb,2292.6162109375,1500.1248168945312,0.8458558320999146
52,index_finger,2406.1014404296875,928.7092895507812,0.6507067084312439
54,thumb,2299.684814453125,1498.6489868164062,0.8081008195877075
54,index_finger,2417.590087890625,925.79541015625,0.6301202178001404
56,thumb,2304.484619140625,1501.7645874023438,0.7621290683746338
56,index_finger,2425.485107421875,929.4418640136719,0.6570765972137451
58,thumb,2302.675048828125,1509.5977783203125,0.7853735089302063
58,index_finger,2425.9517822265625,935.1267700195312,0.6586785912513733
60,thumb,2297.820068359375,1507.6233520507812,0.8525360822677612
60,index_finger,2422.72802734375,935.18115234375,0.6147900819778442
62,thumb,2293.6243896484375,1502.7494506835938,0.8623234033584595
62,index_finger,2413.404052734375,929.4107666015625,0.6004970669746399
64,thumb,2292.3155517578125,1499.3739624023438,0.8334577679634094
64,index_finger,2411.981201171875,926.679931640625,0.6265243291854858
66,thumb,2294.712890625,1496.4127807617188,0.8267856240272522
66,index_finger,2415.4093017578125,922.8642883300781,0.6000316739082336
68,thumb,2299.187255859375,1493.7483520507812,0.7953514456748962
68,index_finger,2425.9803466796875,921.6119384765625,0.6548320651054382
70,index_finger,2439.3067626953125,929.038330078125,0.7695755958557129
70,thumb,2318.9136962890625,1496.4169311523438,0.7030153870582581
72,thumb,2327.8958740234375,1505.4799194335938,0.6437031626701355
72,index_finger,2456.4912109375,934.3606567382812,0.6026062369346619
74,thumb,2329.085205078125,1517.9109497070312,0.743608295917511
74,index_finger,2463.5286865234375,964.6993713378906,0.738257884979248
76,index_finger,2469.3533935546875,983.2072143554688,0.7753372192382812
76,thumb,2329.5167236328125,1539.3621826171875,0.6820687055587769
78,index_finger,2465.931640625,1010.0110168457031,0.7237690687179565
78,thumb,2319.6121826171875,1567.18701171875,0.6864616870880127
80,thumb,2306.842529296875,1589.1701049804688,0.7476586103439331
80,index_finger,2455.9427490234375,1030.7904968261719,0.7285214066505432
82,thumb,2299.7926025390625,1597.28173828125,0.7511622905731201
82,index_finger,2443.6785888671875,1034.5699768066406,0.7488820552825928
84,thumb,2301.33642578125,1584.49365234375,0.7794107794761658
84,index_finger,2442.08740234375,1019.9395446777344,0.7590247988700867
86,thumb,2322.9102783203125,1562.8897705078125,0.7477074861526489
86,index_finger,2448.4686279296875,990.9387512207031,0.716046154499054
88,thumb,2335.4949951171875,1541.6073608398438,0.741382896900177
88,index_finger,2455.9544677734375,981.007568359375,0.6901275515556335
90,thumb,2344.2877197265625,1534.7434692382812,0.7582662105560303
90,index_finger,2464.2099609375,975.9120483398438,0.6412317752838135
92,thumb,2344.3321533203125,1535.7904663085938,0.7547903656959534
92,index_finger,2466.7529296875,977.8511047363281,0.745049774646759
94,thumb,2334.284912109375,1538.9743041992188,0.7451300621032715
94,index_finger,2461.7890625,982.6658935546875,0.6797846555709839
96,thumb,2323.892578125,1549.6640625,0.804827094078064
96,index_finger,2443.9573974609375,990.1356506347656,0.6615360379219055
