frame,distance
18,229.00322561775357
20,255.67457422469835
22,277.20954059521216
24,288.53211481842095
26,293.5575642190678
28,300.434359390406
30,301.4891169493292
32,300.2664300542957
34,300.47436138132133
36,300.15858457663705
38,300.3657895026777
40,301.17789704159657
42,301.04469741908576
44,300.2738497566112
46,299.01502554929783
48,296.84470898102563
50,298.24115690994444
52,298.7915783536837
54,297.2129949110947
56,297.8378827761689
58,298.72509805317145
60,299.31203218814284
62,300.1644770161009
64,303.4947795423664
66,294.37778368391633
68,275.6898851286073
70,238.89912630158742
102,263.7189439596582
104,284.3274622861197
108,306.10553854542997
110,310.0637190812086
112,312.1149419742225
114,312.2134969548786
116,317.9538448050982
118,318.64445500389706
120,317.7629474323718
122,317.3824286439951
124,316.83605976855466
126,312.9591835082761
128,310.90324812560203
130,310.297888594907
132,309.87662825685226
134,308.15694782161916
136,307.41528573548146
138,306.5410141304774
140,304.12495925372434
142,288.74811448569466
144,266.89258808471965
168,228.432358816146
170,264.7590290790773
172,279.19079535898646
174,292.838058342192
176,302.9545487606767
178,308.2182677144017
180,306.9451989072314
182,300.8997058478926
184,298.43503328833066
186,295.3537152244875
188,293.4475368817335
190,292.5002729833444
192,292.7568685109559
194,291.6627645488516
196,285.6798136822504
220,231.9072800376267
222,258.9172148179256
224,275.72231039415476
226,282.9028434578083
228,289.49230333922895
230,276.6968900034522
232,283.06226196436194
234,283.51257693431205
236,280.6490847440985
238,282.2689285505748
240,280.9726667810614
242,283.79694714845493
244,272.92366182122277
246,261.4845681827317
272,259.0446508331696
274,269.94131851708926
276,275.688447764713
278,279.8493461819106
280,283.17720122808333
282,284.94243563979836
284,286.2444274489548
286,281.5378808070567
288,282.42127429867276
290,279.5280768682011
292,277.3955817361509
294,278.79214272100984
296,279.0258186982186
298,279.8635830294558
300,283.95281426799585
302,283.08710965067456
304,279.9766001954072
306,266.213265859227
330,201.3900471509753
332,242.17302376413568
334,266.6906811256609
336,280.3775848063658
338,286.91022405330926
340,281.4029224024068
342,285.14786209052676
344,288.0357029402146
346,288.6727268487043
356,290.2596852389707
358,290.0001418947955
360,287.4610149295447
362,286.0718331863287
364,292.0529156069362
366,258.3624967804405
390,253.02645561604194
392,270.6755338982341
394,285.97783758632517
398,299.02649981129133
404,302.2082713181449
406,308.8351040443185
408,308.61359182597704
410,308.758006954454
412,308.76276835037123
414,309.878467148852
416,305.01970477490994
418,304.28642139677186
420,301.16308740034424
422,288.4396202452732
424,253.106977977149
450,240.7210367824406
452,249.12356257791086
454,260.10540465169044
456,279.46529050358384
458,297.9862668572399
462,298.9680588808467
466,293.3029101916798
468,289.1976493047417
470,287.803710506586
472,286.5500697250622
474,278.02617342363936
476,273.7123012608445
478,267.87921280172156
480,266.49164603298465
482,256.23573959963517
484,235.68494856684393
514,260.8655998911985
516,275.74046462841125
518,281.611695271137
520,284.5350731798436
522,290.0502436103047
524,288.5551284872457
526,292.4913553091682
528,290.7837037421169
530,295.81201312041225
532,294.97674631269825
534,296.02160140121595
536,296.06515776774364
538,289.5105990300699
540,282.8436648859242
542,283.7254681504798
544,281.0483134882677
546,280.01374905766573
548,277.380929958145
550,267.16077719725394
552,242.36449563949304
582,303.3555494431855
584,320.29980698803973
586,324.17555105180287
588,315.20273024132536
590,305.9493979565208
592,299.3137386896706
594,297.0746515614577
596,295.87910983072146
598,298.5659036243206
