frame,class,x,y,conf
0,thumb,2022.2713623046875,1241.5881958007812,0.5140830278396606
2,thumb,2022.3192749023438,1242.59521484375,0.49782252311706543
4,thumb,2022.0821533203125,1243.275146484375,0.5024225115776062
6,thumb,2021.7578735351562,1243.0934448242188,0.47954270243644714
8,thumb,2021.0980224609375,1242.3785400390625,0.5438981652259827
10,thumb,2012.8048095703125,1258.1069946289062,0.4262832999229431
12,thumb,2011.264892578125,1267.1055297851562,0.5225379467010498
14,thumb,2010.0765380859375,1289.491455078125,0.7622115015983582
16,thumb,2001.8411865234375,1306.6170043945312,0.7236098647117615
18,thumb,1993.632568359375,1325.8007202148438,0.7140429615974426
18,index_finger,2009.99169921875,1058.305908203125,0.43020907044410706
20,thumb,1982.4541625976562,1334.7938232421875,0.6820230484008789
20,index_finger,2008.095703125,1052.0039672851562,0.5365409851074219
22,thumb,1983.416015625,1349.3230590820312,0.6435452103614807
22,index_finger,2008.8125,1050.9294738769531,0.5044941902160645
24,thumb,1978.8251953125,1355.3936157226562,0.5707243084907532
26,thumb,1975.858154296875,1360.6630859375,0.43842750787734985
30,thumb,1975.6922607421875,1364.8946533203125,0.40340521931648254
32,thumb,1974.4295654296875,1364.3380126953125,0.41069725155830383
34,index_finger,2008.3884887695312,1047.5192565917969,0.4297885596752167
34,thumb,1975.1053466796875,1362.2048950195312,0.4128170311450958
36,thumb,1976.5416259765625,1359.2401733398438,0.4480602741241455
38,thumb,1978.6812744140625,1354.8281860351562,0.533198356628418
38,index_finger,2002.8635864257812,1040.9263000488281,0.4643332362174988
40,thumb,1985.4918212890625,1349.4462280273438,0.6665880680084229
40,index_finger,2006.9050903320312,1042.9144897460938,0.41019105911254883
42,thumb,1987.1831665039062,1334.511962890625,0.7026239633560181
44,thumb,1997.0804443359375,1314.616455078125,0.6582135558128357
46,thumb,2007.242431640625,1299.3561401367188,0.7703788876533508
48,thumb,2013.5111694335938,1275.4075927734375,0.6307453513145447
50,thumb,2012.089599609375,1270.5462646484375,0.4900665879249573
52,thumb,2009.767822265625,1266.826904296875,0.6058123707771301
54,thumb,2010.964599609375,1261.9127197265625,0.698453962802887
56,thumb,2010.5850219726562,1257.9085693359375,0.7068370580673218
58,thumb,2010.2655029296875,1252.1144409179688,0.7377645969390869
60,thumb,2005.0133056640625,1261.120849609375,0.8003042340278625
62,thumb,2000.0641479492188,1280.8983764648438,0.7271815538406372
64,thumb,1996.330810546875,1300.3815307617188,0.8119677901268005
66,thumb,1991.108642578125,1308.0245361328125,0.7737584114074707
66,index_finger,1999.905517578125,1040.6565246582031,0.5161923766136169
68,thumb,1992.06298828125,1321.3543701171875,0.5666690468788147
68,index_finger,1995.2794189453125,1038.9358215332031,0.5392376780509949
70,thumb,1990.0504150390625,1328.4332275390625,0.7336439490318298
70,index_finger,1995.0450439453125,1038.8756103515625,0.5446474552154541
72,thumb,1987.3751220703125,1334.3489990234375,0.6976328492164612
72,index_finger,1995.484619140625,1039.0211486816406,0.5576526522636414
74,thumb,1981.595947265625,1337.4810180664062,0.6800381541252136
74,index_finger,1996.6109008789062,1039.2135925292969,0.5780041813850403
76,thumb,1981.5601806640625,1339.6007080078125,0.7128252983093262
76,index_finger,1997.1856689453125,1040.4178771972656,0.6097840070724487
78,thumb,1981.2330322265625,1339.4188232421875,0.7043672204017639
78,index_finger,1997.3199462890625,1039.6574401855469,0.5961765050888062
80,thumb,1980.8873291015625,1339.3611450195312,0.7082962989807129
80,index_finger,1994.4722900390625,1039.4474182128906,0.5497539639472961
82,thumb,1981.1953125,1338.9453125,0.7093672752380371
82,index_finger,1993.51904296875,1039.3928833007812,0.5224294662475586
84,thumb,1982.1402587890625,1336.06298828125,0.6673827767372131
84,index_finger,2000.20458984375,1040.6002807617188,0.5729286670684814
86,thumb,1988.2100219726562,1330.9408569335938,0.7560300230979919
88,thumb,1995.7347412109375,1310.2703247070312,0.7330360412597656
90,thumb,2005.4335327148438,1296.8128662109375,0.717038631439209
92,thumb,2011.2996826171875,1276.6424560546875,0.7124846577644348
94,thumb,2010.863525390625,1273.343017578125,0.5580138564109802
96,thumb,2007.3295288085938,1266.6376953125,0.7012566328048706
98,thumb,2006.0198364257812,1261.42529296875,0.7896315455436707
100,thumb,2006.7366943359375,1258.5187377929688,0.7513116598129272
102,thumb,2001.4868774414062,1263.8151245117188,0.7455748915672302
104,thumb,2001.0111083984375,1277.4149780273438,0.6817545890808105
106,thumb,1996.1529541015625,1295.4595947265625,0.809819221496582
108,thumb,1993.1853637695312,1302.267822265625,0.7818366885185242
110,thumb,1991.5550537109375,1306.315185546875,0.7660427093505859
112,thumb,1990.049560546875,1309.4474487304688,0.7259597182273865
114,thumb,1989.6334838867188,1312.6988525390625,0.6615046262741089
116,thumb,1990.7268676757812,1317.1140747070312,0.5095757246017456
118,thumb,1992.7021484375,1322.2855834960938,0.48595163226127625
120,thumb,1991.7644653320312,1323.521484375,0.5871074795722961
120,index_finger,1989.2666015625,1037.56201171875,0.43787047266960144
122,thumb,1991.7159423828125,1324.3356323242188,0.6425579190254211
122,index_finger,1991.3668212890625,1037.9818725585938,0.4615522027015686
124,thumb,1992.6016845703125,1325.641845703125,0.6821079850196838
124,index_finger,1992.92431640625,1038.2482299804688,0.4759705662727356
126,thumb,1992.9765014648438,1325.6778564453125,0.685255765914917
126,index_finger,1993.2586669921875,1038.2135314941406,0.47373849153518677
128,thumb,1994.2045288085938,1324.0130615234375,0.6824610829353333
128,index_finger,1994.1932373046875,1038.4960632324219,0.4800654649734497
130,thumb,1996.1384887695312,1314.061767578125,0.6582229733467102
132,thumb,2004.2069091796875,1299.4968872070312,0.7804244756698608
134,thumb,2007.8409423828125,1284.7613525390625,0.6585642099380493
136,thumb,2011.0007934570312,1274.2820434570312,0.47840413451194763
138,thumb,2007.665771484375,1269.7034301757812,0.5693161487579346
140,thumb,2007.1556396484375,1265.0230712890625,0.6995308995246887
142,thumb,2004.7294921875,1259.99755859375,0.7844811677932739
144,thumb,2002.6438598632812,1256.2291259765625,0.8487447500228882
146,thumb,1994.0499877929688,1243.3139038085938,0.8353998064994812
148,thumb,1993.9110107421875,1253.8622436523438,0.7330290079116821
150,thumb,1987.6083984375,1267.8273315429688,0.7247549295425415
152,thumb,1985.3959350585938,1281.1906127929688,0.7428227066993713
154,thumb,1984.7603759765625,1288.1588745117188,0.7466414570808411
156,thumb,1985.6290283203125,1295.5375366210938,0.713266134262085
156,index_finger,1975.2090454101562,1025.2584228515625,0.4709341526031494
158,thumb,1985.674072265625,1298.4412841796875,0.7041897177696228
158,index_finger,1974.942626953125,1026.1541442871094,0.44853416085243225
160,thumb,1985.408935546875,1305.203369140625,0.7432160377502441
162,thumb,1986.0379028320312,1308.8772583007812,0.6936424970626831
164,thumb,1985.1734619140625,1312.3519287109375,0.5908405184745789
166,thumb,1985.6119384765625,1314.1862182617188,0.5734400749206543
168,thumb,1986.6251220703125,1315.622802734375,0.558123767375946
168,index_finger,1982.5982666015625,1035.2391967773438,0.4004517197608948
170,thumb,1989.8129272460938,1315.0852661132812,0.5875189900398254
172,thumb,1990.6932983398438,1311.2452392578125,0.6777498126029968
174,thumb,1995.1521606445312,1307.4852905273438,0.7800619006156921
176,thumb,2001.9449462890625,1293.1343994140625,0.824585497379303
178,thumb,2009.2640991210938,1282.4834594726562,0.6279845833778381
180,thumb,2008.590087890625,1269.7389526367188,0.6186091303825378
182,thumb,2004.5745849609375,1265.62451171875,0.7779996991157532
184,thumb,2004.7798461914062,1266.5496215820312,0.731968879699707
186,thumb,2003.836669921875,1261.2012939453125,0.8448578715324402
188,thumb,2000.4063720703125,1258.5396118164062,0.9118276238441467
190,thumb,1998.9351196289062,1253.564208984375,0.9037769436836243
192,thumb,1997.290283203125,1255.8838500976562,0.8003266453742981
194,thumb,1999.6298217773438,1267.6152954101562,0.747246265411377
196,thumb,1994.8026123046875,1285.5255737304688,0.7845975756645203
198,thumb,1995.5775146484375,1298.28564453125,0.8374679088592529
200,thumb,1994.5968017578125,1304.4684448242188,0.7897534370422363
200,index_finger,1994.4802856445312,1035.953857421875,0.44335493445396423
202,thumb,1995.676025390625,1308.0509643554688,0.7285714149475098
