frame,distance
0,227.77344530829623
2,227.95367726971548
4,228.24829921720868
6,228.502149057868
8,228.36157100315245
10,228.01573119239953
12,228.56204125497447
14,228.73837417082618
16,228.81265970291346
18,229.11323918453306
20,228.84677943785852
22,229.13482578547203
24,229.07530212267315
26,229.09462026791897
28,229.3511139223099
30,228.97887054700627
32,228.77691447550245
34,228.43494877323423
36,228.41907343183473
38,227.93009484634675
40,228.3642065641584
42,228.98551626263497
44,229.09108570954731
46,228.92347400549107
48,229.07031632087705
50,228.79698628474702
52,228.6830113775699
54,228.74511750295537
56,227.65342751042292
58,227.5047704006968
60,228.04522931487566
62,227.74336303748962
64,227.7240152991705
66,227.42574485948643
68,227.65901963484038
70,228.377217575377
72,228.34244369513405
74,228.55889291287028
76,227.70180556891344
78,227.08841786966724
80,227.09282027545623
82,227.3310507394611
84,227.36785147326052
86,228.36056901673115
88,228.18942598992632
90,228.5907277750965
92,229.14190406549628
94,229.33365276435077
96,231.23304031493424
98,231.1814930489183
100,229.56360355283346
130,258.04096137990507
132,263.9685504348593
134,263.5802402661695
136,262.4982139661178
138,257.7925985392821
140,249.41073994477944
142,226.7183450343359
164,241.48651626274543
166,258.7550274970098
168,271.34678786695594
170,275.7257523668671
172,277.21827347368526
174,278.3136275038056
176,276.8082857258297
178,272.0273900161897
180,265.2860735122715
182,249.21924635658343
204,227.9324932206493
206,245.18859781512492
208,260.2197053847341
210,265.4246885702274
212,275.6140403075074
214,279.0534578608014
216,282.1026044859774
218,282.7853542551889
220,285.267234277677
222,287.0668005294461
224,287.78971132427097
226,290.49131841306144
228,291.96204367138796
230,291.4636153878277
232,291.9529540220247
234,289.8150578872207
236,287.8219746543051
238,283.3284559064987
240,279.38590433111415
242,274.768588105739
244,263.62869245415965
246,224.569866381826
268,248.84775535002026
270,267.0727709783562
272,285.9658320698269
274,294.46269012187906
276,300.4890239398445
278,308.3069958629774
280,315.99363916833573
282,317.3504177298863
284,309.8225415837119
286,266.82325335449485
304,225.10052777910184
306,243.28337957238588
308,257.40280388695373
310,270.4498673217263
312,281.3328649530542
314,282.986291842873
316,281.62398360624434
318,265.389662052914
320,209.25452272505086
338,224.2215399306375
340,246.30749720698452
342,260.577538133229
344,274.35634964670277
346,283.0668781243683
348,293.1242765552168
350,295.6857960614059
352,301.3115616582808
354,308.4316533166278
356,306.38881752908543
358,269.85685815350354
378,211.92830654475986
380,235.85315337449782
382,243.13676386125167
384,253.43158254561965
386,262.6884508105587
388,265.99723071015626
390,269.5174691140387
392,271.1240568046569
394,269.67341077279286
396,252.412330878804
418,204.32670872872148
420,235.56500094518583
422,256.2794292106777
424,267.5140177256129
426,269.2897420222646
428,275.43204320818023
430,278.0470320791458
432,283.192123239931
434,275.3047767647906
436,244.9234236267098
456,209.18815166246088
458,239.24037622740832
460,260.0268247074466
462,264.8553723252569
464,269.3363678076116
466,271.28153803525225
468,269.1254101671887
470,271.4859635725679
472,272.3409461730367
474,263.25365356291366
476,247.36827895467778
500,240.46319450650563
502,257.74573717228793
504,268.01060218032603
506,274.1651936070125
508,275.1904921373611
510,266.4773518022107
512,237.5906083249747
536,213.4086208562071
538,240.16256253333364
540,258.136566067199
542,266.8470747041555
544,269.9429876309002
546,271.96342262940783
548,273.94374171353616
550,274.2853035369501
552,272.29536515904294
554,251.9119341179055
556,202.39558462709945
582,246.4302583157299
584,262.30724338848506
586,275.07111451567073
588,280.20400947776767
590,282.0679111843714
592,276.6701753751031
594,267.65415946859576
596,251.3050387689914
598,229.06419630749642
