frame,distance
12,547.9379615886933
14,548.718948513707
16,552.3059718980351
18,552.9425669443768
20,554.6705382626803
22,555.9443740283083
24,559.4832643482234
26,557.8963433403594
28,556.3958755163935
30,555.2433736846908
32,554.136897118934
34,552.4804874250682
36,553.066321556949
38,551.9255810194152
40,550.9571451278939
42,551.2172070496571
44,551.9364200188353
46,549.2833169472376
48,549.4741928838508
50,548.6714591666802
52,546.3907958991288
54,543.947167378939
56,542.983748251761
58,543.2024463817895
60,543.0005993825844
62,540.4077881057755
64,542.8284334011317
66,543.962072240355
68,542.7440042034721
70,543.2799467954517
74,543.2992011876156
76,543.2001470150386
78,542.2967034998807
84,543.4405371100445
86,541.9565354408915
90,546.9812272064504
92,547.7026781429201
94,550.5852730196508
96,546.7450323846774
98,546.8059120110997
100,544.1955582391561
126,411.35763980979334
130,518.2844052241464
286,530.6893659779528
288,529.5009330713409
290,528.041313078573
328,553.6400836075263
412,497.46903564261424
440,515.8871639025565
442,513.519752400255
524,356.4718986834856
